,Game Number,Score
0,0.0,-46.5
1,1.0,-70.0
2,2.0,-54.5
3,3.0,-49.0
4,4.0,-47.5
5,5.0,-58.0
6,6.0,-32.0
7,7.0,-37.5
8,8.0,-39.0
9,9.0,-39.0
10,10.0,-53.5
11,11.0,-40.5
12,12.0,-26.0
13,13.0,-33.0
14,14.0,-40.0
15,15.0,-28.5
16,16.0,-49.5
17,17.0,-43.5
18,18.0,-24.0
19,19.0,-32.0
20,20.0,-34.0
21,21.0,-50.0
22,22.0,-54.5
23,23.0,-41.5
24,24.0,-44.0
25,25.0,-35.0
26,26.0,-39.5
27,27.0,-28.0
28,28.0,-23.0
29,29.0,-27.5
30,30.0,-41.5
31,31.0,-42.0
32,32.0,-41.5
33,33.0,-23.5
34,34.0,-37.5
35,35.0,-23.0
36,36.0,-33.0
37,37.0,-57.5
38,38.0,-28.0
39,39.0,-22.5
40,40.0,-40.5
41,41.0,-20.5
42,42.0,-63.5
43,43.0,-61.5
44,44.0,-23.0
45,45.0,-23.5
46,46.0,-36.0
47,47.0,-36.5
48,48.0,-40.0
49,49.0,-13.0
50,50.0,-6.5
51,51.0,-32.0
52,52.0,-42.5
53,53.0,-26.0
54,54.0,-33.5
55,55.0,-16.0
56,56.0,-36.5
57,57.0,-27.5
58,58.0,-19.5
59,59.0,-21.5
60,60.0,-14.5
61,61.0,-30.0
62,62.0,-18.0
63,63.0,-23.5
64,64.0,-31.5
65,65.0,-20.0
66,66.0,-31.5
67,67.0,-24.5
68,68.0,-35.5
69,69.0,-17.0
70,70.0,-8.5
71,71.0,-14.0
72,72.0,-14.5
73,73.0,-28.5
74,74.0,0.0
75,75.0,-26.0
76,76.0,-16.5
77,77.0,-15.5
78,78.0,-30.5
79,79.0,-19.0
80,80.0,-19.5
81,81.0,-19.0
82,82.0,-30.0
83,83.0,-8.5
84,84.0,-9.5
85,85.0,-13.5
86,86.0,-31.5
87,87.0,-40.5
88,88.0,-42.5
89,89.0,-6.0
90,90.0,-20.0
91,91.0,-14.5
92,92.0,-10.0
93,93.0,-37.5
94,94.0,-17.0
95,95.0,-18.0
96,96.0,-52.5
97,97.0,-5.0
98,98.0,-8.0
99,99.0,-12.5
